objid               ra       dec        z        Morph    T  Distance rMag umr amaj b_a name
587744293895208989  33.865134   6.002484  0.00521  SABc      5 22.41 -19.52  2.15   244.2  0.48 NGC0864
587727780817010849  33.92144   -8.508072  0.004621 dI       10 20.06 -14.31  1.37    27.7  0.52 SDSSJ021541.15-083029.0
587747978978328593  34.046186 -11.923041  0.006304 Scd       6 26.76 -18.71  1.61   183.3  0.23 IC0217
587727178464166093  34.080862  -9.470093  0.00581  dI       10 24.79 -14.22  1.11    31.3  0.34 SDSSJ021619.38-092812.1
587727780280401997  34.485578  -8.853977  0.004801 dI       10 20.75 -15.24  1.34    33.6  0.78 SDSSJ021756.53-085114.3
587731513686425732  34.533738   0.758374  0.009191 dI       10 38.25 -16.42  1.43    30.6  0.7  KUG0215+005
587731511539073151  34.875984  -0.985129  0.009    Im/BCD   12 37.48 -14.55  0.77    17.1  0.69 UM417
587744294969475150  35.122319   6.810804  0.005417 Sdm       8 23.19 -17.15  1.62   197.2  0.12 UGC01803
587731511539269729  35.308997  -0.886723  0.004153 dS0n    -10 18.14 -14.74  1.94    36.3  0.63 SDSSJ022114.15-005312.1
588015508211105995  35.328912  -0.798645  0.00454  dEbc     -7 19.68 -14.25  1.29    29.2  0.68 SDSSJ022118.93-004755.1
587731512076271697  35.625631  -0.617036  0.005124 Sdm       8 22.   -17.    1.74   193.1  0.14 UGC01839
587747978979770478  36.58941   -9.841738  0.007035 SBdm      8 29.59 -17.32  1.45    73.8  0.44 VV525
587731514224214025  36.617839   1.160494  0.00512  dEbc     -7 21.95 -18.06  1.44    80.   0.89 IC0225
588015507674890380  36.855004  -1.059607  0.005764 dEun     -6 24.51 -16.65  3.07    52.7  0.83 2MASXJ02272519-0103334
588015507674890331  36.906022  -1.156008  0.00447  SB0      -3 19.35 -20.75  2.64   292.7  0.62 NGC0936
587731512076927167  37.078636  -0.609123  0.004883 Sm/Im    10 20.99 -14.79  2.56    32.9  0.88 UGC01949
588015507675021334  37.116183  -1.151459  0.005364 SAc       5 22.91 -18.98  1.63   154.2  0.63 NGC0941
758881523728908298  37.476209  25.257005  0.006381 Sbc       4 26.95 -17.33  2.17    70.8  0.41 UGC01970
588015507675217979  37.638114  -1.108411  0.00496  Sa        1 21.28 -19.59  2.62   195.2  0.35 NGC0955
588015508212220048  37.884278  -0.727669  0.008897 Im/BCD   12 36.96 -16.03  0.9     31.9  0.51 SHOC123
587727178465804367  37.941655  -9.146581  0.005387 Im/BCD   12 22.97 -15.53  0.67    35.5  0.58 SHOC124
758882026776953390  38.317065  28.177541  0.003472 Sm/Im    10 15.31 -13.56  1.1     24.8  0.56 KDG019
588015508212416760  38.383014  -0.74392   0.004153 dI       10 18.03 -15.18  1.7     55.1  0.57 SDSSJ023331.92-004437.8
587747980592021588  38.487454  -6.358221  0.004703 dI       10 20.22 -15.64  1.64    53.   0.62 [RC3]0231.5-0635
587724240151576634  38.8656    -9.356327  0.005037 SBc       5 21.54 -19.21  1.68   515.7  0.09 NGC0988
587724242836062221  38.886186  -7.154428  0.005104 SABcd     6 21.8  -18.79  2.17   147.   0.82 NGC0991
588015509823291572  39.004021   0.420213  0.008866 SABcd     6 36.79 -18.6   2.06   108.2  0.59 UGC02081
758881522118623321  39.06748   25.423688  0.002322 Scd       6 10.7  -17.07  3.33   338.9  0.15 UGC02082
587731511540908169  39.119883  -0.974925  0.008296 dEblue   -9 34.52 -15.03  0.73    19.6  0.59 SHOC129
587731512614715433  39.177083  -0.017084  0.00322  Sm/Im    10 14.28 -14.78  1.13    71.1  0.31 APMUKS(BJ)B023408.83-0014
758881524267942283  39.569558  29.906336  0.002312 Sm/Im    10 10.64 -13.75  5.21    40.   0.63 KDG021
587750951095762960  39.636417  -6.67749   0.004847 SBa       1 20.75 -19.81  2.08   187.7  0.78 NGC1022
587727179540398356  39.702095  -8.049369  0.0059   dSphn    -8 24.95 -14.96  1.95    28.5  0.89 SDSSJ023848.50+003114.2
588015509823619375  39.703128   0.52237   0.00483  Sm/Im    10 20.68 -14.06  1.74    -9.  -9.   SDSSJ023848.50-080257.7
758882026241130515  39.811896  30.151345  0.003292 Sa        1 14.54 -18.69  1.43   157.2  0.55 NGC1012
587731514225590336  39.848547   1.093603  0.008986 SAB0     -3 37.24 -21.24  2.84   289.5  0.25 NGC1032
587727179540463625  39.871401  -8.133643  0.00414  Sc        3 17.92 -19.19  1.99   193.6  0.33 NGC1035
758882026241196093  39.965262  30.268272  0.002702 Sm/Im    10 12.18 -15.13  1.79    88.4  0.29 AGC121174
587727179003658284  40.099866  -8.433544  0.00458  SABcd     6 19.67 -18.22  2.53   187.1  0.39 NGC1042
587731514225721403  40.10962    1.22925   0.003953 Sm/Im    10 17.17 -11.84  2.06    11.   0.56 UGC02162
587750951096090655  40.127448  -6.103634  0.004419 SAm       9  0.   -19.85  1.34    43.8  0.54 UGCA038
587727179540594730  40.136833  -8.147672  0.004741 S0gas    -3 20.31 -17.97  2.05   102.4  0.69 NGC1047
587724242836652095  40.260371  -6.935921  0.00432  SABd      7 18.63 -18.44  1.88   156.2  0.53 NGC0961
587724241225973824  40.27      -8.255765  0.005027 E        -5 21.45 -20.76  2.76   208.4  0.59 NGC1052
588015510360752167  40.271402   0.931437  0.008961 dEbc     -7 37.12 -17.41  1.52    44.7  0.61 2MASXJ02410514+0055529
587727180614402154  40.334248  -7.284999  0.005566 dEblue   -9 23.59 -15.12  1.13    26.5  0.97 SDSSJ024120.21-071705.9
587724242299846730  40.372418  -7.346081  0.00431  dI       10 18.58 -14.92  1.65    38.6  0.58 SDSSJ024129.37-072046.0
587727179540660355  40.396093  -8.173476  0.005162 dEn      -6 21.98 -16.65  2.08    63.   0.6  2MASXJ02413514-0810243
588015509823946822  40.438672   0.442579  0.003322 Sc        3 14.64 -18.31  2.99    -9.  -9.   NGC1055
587724241762975868  40.458127  -7.925013  0.004577 Im       10 19.64 -16.66  1.7     82.9  0.72 SDSSJ024149.95-075530.0
588015509287076007  40.50151    0.014544  0.003624 dEn      -6 15.84 -15.06  1.78    44.7  0.64 2MASXJ02420036+0000531
587731512615370807  40.669607  -0.013313  0.003793 SAb       3 16.51 -21.68  5.36   148.2  0.96 MESSIER077
587727180077727860  40.695326  -7.542097  0.00446  dEblue   -9 19.17 -14.65  1.05    23.1  0.86 SDSSJ024246.84-073230.3
758882024630059033  40.701302  28.574157  0.005154 Sa        1 21.94 -19.56  2.28   130.6  0.69 NGC1056
588015508750336166  40.793997  -0.26287   0.000557 dI       10  3.58 -11.92  1.55    54.2  0.61 SDSSJ024310.55-001546.3
587731513689309190  41.087909   0.675381  0.00925  Im       10 38.24 -18.02  1.41    94.6  0.35 UGC02216
758882025167716732  41.24074   30.37829   0.002769 Sd        7 12.4  -14.69  1.72    83.   0.2  UGC02221
758882026242113772  41.26974   32.160466  0.00527  Sm/Im    10 22.38 -14.82  1.77    28.9  0.72 kkh014
587727180078055443  41.499624  -7.578471  0.00469  SAc       5 20.06 -20.63  2.01   254.3  0.4  NGC1084
587731512078893077  41.604858  -0.498654  0.005067 SBd       7 21.56 -19.76  1.62   261.9  0.43 NGC1087
588015508750729247  41.641405  -0.247168  0.009126 SABbc     4 37.73 -20.53  2.46   270.2  0.32 NGC1090
587727179004510259  42.065531  -8.29186   0.004687 Im/BCD   12 20.02 -15.18  1.21    43.6  0.5  SHOC137
587727179541446768  42.166481  -7.813419  0.004832 dI       10 20.6  -14.69  0.88    26.4  0.8  SDSSJ024839.95-074848.3
588015508750991497  42.217583  -0.351263  0.008871 Sm/Im    10 36.69 -16.    1.09    37.8  0.74 UGCA042
587727179541512254  42.288831  -7.839946  0.004443 Sdm       8 19.04 -17.62  1.2    179.8  0.24 NGC1110
587724240689954905  42.296547  -8.47465   0.0048   dEblue   -9 20.46 -13.86  0.58    18.4  0.83 SDSSJ024911.16-082828.7
587724241226891377  42.30594   -8.115045  0.004826 Sm/Im    10 20.57 -15.81  1.26    58.   0.61 SDSSJ024913.41-080653.2
587747980594315474  42.343143  -2.655467  0.003636 Sm/Im    10 15.82 -14.77  1.49    55.4  0.55 UGCA044
587740552449032337  42.582045  19.11236   0.00413  dI       10  0.   -16.07  0.92    30.5  0.62 CGCG463-025
587747981131579490  42.663267  -1.734098  0.008533 SA0      -3  0.   -21.41  2.62    40.7  0.59 NGC1121
588015509288059162  42.71675    0.00336   0.005297 dI       10 22.43 -14.61  1.41    23.5  0.9  SDSSJ025052.01+000012.2
588015507677577353  42.969542  -1.172816  0.00502  SBm       9 21.32 -16.57  1.58    96.7  0.5  UGC02345
587731513153290382  43.069798   0.294794  0.005258 dEblue   -9 22.26 -14.83  0.92    21.9  0.94 SDSSJ025216.75+001741.2
587727177931292897  43.36934   -8.984869  0.004739 Sm/Im    10 20.18 -14.38  1.67    26.   0.83 SDSSJ025328.63-085905.5
587727180078907413  43.443188  -7.395447  0.004494 Im/BCD   12 19.2  -14.98  0.74    36.1  0.68 APMUKS(BJ)B025118.59-0735
587731511542874193  43.523392  -0.876828  0.003247 dI       10 14.22 -13.99  0.94    25.6  0.66 SDSSJ025405.61-005236.6
758882024632615078  43.943315  33.766468  0.005164 SAcd      6 21.85 -17.07  1.94   132.2  0.27 UGC02392
588015509825519900  44.118041   0.60773   0.009198 IBm      10 37.92 -15.01  0.96    19.4  0.54 SDSSJ025628.41+003628.1
587747978984489015  44.473426  -2.347398  0.005134 SBdm      8  0.   -17.7   1.34   105.8  0.34 IC1870
587750951098712120  44.589595  -2.041879  0.008386 SAbc      4  0.   -18.72  1.79    62.2  0.43 UGC02443
758881509235490919  44.696271  75.744657  0.008496 Sc        5  0.   -21.39  2.28    23.5  0.47 UGC02411
588015509825847615  44.810576   0.566592  0.009187 dI       10 37.85 -15.5   0.88    28.9  0.44 SDSSJ025914.53+003359.6
588015509289107636  45.167488   0.020367  0.009494 Scd       6 39.06 -18.07  1.74    96.3  0.3  UGC02479
588015508215431348  45.263693  -0.743465  0.00881  SABd      7 36.33 -17.61  1.47    65.2  0.56 UGC02482
587731513154273388  45.299581   0.302909  0.009271 dI       10 38.16 -15.95  1.33    28.5  0.47 SDSSJ030111.89+001810.4
587727180080087118  46.086949  -6.99647   0.007203 SAm       9 29.9  -17.28  1.62    76.9  0.6  SDSSJ030420.86-065947.2
587731512080859257  46.144809  -0.47525   0.005612 dEblue   -9 23.55 -15.54  1.05    27.3  0.67 SHOC149
587731512617861130  46.32619   -0.159683  0.008886 SBc       5 36.59 -18.46  1.39    68.8  0.49 KUG0302-003
588015509826699553  46.695152   0.469525  0.002372 dI       10 10.6  -12.53  0.78    21.9  0.72 SDSSJ030646.87+002810.5
758882026783572425  47.228265  41.466974  0.009497 SA0      -3  0.   -17.26  2.54    52.6  0.54 UGC02554
758882138446102823  47.326112  80.130602  0.007929 SABbc     4 32.74 -20.    1.7    103.8  0.7  UGC02519
758881523736576506  47.553675  40.765715  0.009974 SAb       3  0.   -18.48  1.74    51.2  0.48 IC0292
587731512618778836  48.482048  -0.176481  0.0095   Sm/Im    10 38.95 -15.96  1.33    41.1  0.49 SDSSJ031355.64-001035.3
758882138446430392  49.188321  80.793457  0.007812 SA0      -3  0.   -18.69  2.56   147.9  0.23 NGC1184
587741512363212938  49.259423   3.649353  0.002969 Sab       2 12.88 -16.48  2.51    86.2  0.4  CGCG390-043
587727180618334316  49.261331  -6.205776  0.006992 SAdm      8 28.93 -16.83  1.68    52.6  0.74 SDSSJ031702.71-061220.8
587724240156164157  49.373837  -8.145226  0.006808 SAd       7 28.19 -17.5   1.61    60.8  0.69 2MASXJ03172972-0808431
587727178470916246  49.620641  -7.892393  0.006846 SAdm      8 28.33 -17.2   1.65    56.   0.9  SDSSJ031829.05-075330.7
587727180618530952  49.623139  -6.100627  0.007702 dI       10 31.74 -16.19  0.85    30.5  0.61 KUG0316-062
587727180618530983  49.764126  -6.11487   0.007332 Im/BCD   12 30.26 -15.52  1.9     37.4  0.63 SDSSJ031903.37-060654.1
587727180618596427  49.858566  -6.121112  0.007571 Sbc       4 31.21 -18.7   1.5     72.5  0.61 MRK1075
587724242304041039  50.04034   -6.262005  0.007722 Sc        3 31.8  -19.8   1.88   108.1  0.55 NGC1299
758881522126619189  50.050428  41.366983  0.007135 E        -5  0.   -22.07  2.61    50.8  0.67 NGC1282
758882137909428335  50.071595  80.246398  0.007485 SBb       3 30.86 -19.07  1.75   101.9  0.71 UGC02620
587747561826746629  50.095388  17.297543  0.001167 Sm/Im    10  5.65 -13.12  1.44   108.4  0.18 UGC02684
587727180618727563  50.136597  -6.118784  0.007798 dI       10 32.1  -16.19  1.39    51.6  0.35 SDSSJ032032.77-060707.5
758882024636809647  50.332992  41.931865  0.009613 Imeger   10  0.   -19.93  1.77    33.8  0.66 IC0316NED01
758881521589616968  50.364683  40.801867  0.000924 SB0      -3  0.   -15.75  1.69    50.6  0.5  UGC02689
587724241230495806  50.572824  -7.090686  0.00904  SABab     2 37.03 -19.96  2.01    92.4  0.9  KUG0319-072
587747562900815933  51.03      17.753333  0.00127  Im       10  0.   -16.42  1.2     63.9  0.4  UGC02716
758881521590273004  51.502279  42.024619  0.003232 Sc        3  0.   -17.82  4.36    41.4  0.26 UGC02731
587727178472358604  52.978383  -7.514748  0.008404 Sm/Im    10 34.4  -15.4   1.48    31.6  0.6  SDSSJ033154.80-073051.4
758882626992800422  53.891529  80.085748  0.007372 SABm      9  0.   -21.1  15.48    28.8  0.73 UGC02767
587747564514836616  59.250471  16.522609  0.000984 dI       10  4.53 -14.24  1.08    70.2  0.66 UGC02905
758882135762141879  59.754339  79.556084  0.007418 Sd        7 30.18 -17.99  1.25   119.8  0.22 UGC02896
587727179013619848  62.777052  -5.703623  0.007982 SAd       7 32.3  -17.23  1.4     76.8  0.25 SDSSJ041106.26-054210.7
758885348929765430  71.713804  -6.24114   0.009516 Sdm       8  0.   -18.72  1.76    62.2  0.16 [RC3]0444.4-0620
758887369710239964  71.830153  -4.201348  0.00946  SAdm      8 37.78 -17.46  1.52    71.1  0.51 6dFJ0447192-041205
758887368099430596  72.071181  -5.42761   0.009156 SA0      -3  0.   -22.29  2.47    79.1  0.57 NGC1665
758885348392960141  72.136848  -6.570047  0.009183 SB0/a     0 36.67 -20.52  2.54   125.   0.87 NGC1666
758887369710436376  72.143225  -3.867106  0.00923  Sa        1 36.85 -19.56  2.59   101.4  0.41 MCG-01-13-011
758885350003900605  72.191167  -5.12463   0.009497 Sdm       8  0.   -21.22  1.22    86.6  0.1  IC2095
758885349467161005  72.684483  -5.418391  0.009403 Sc        3 37.52 -19.17  2.71   189.1  0.2  IC2098
758885350004162675  72.717005  -4.892656  0.00919  IBm      10  0.   -21.77  1.43    59.5  0.32 NGC1677
758885348930355218  72.958544  -5.803199  0.009176 SAb       3 36.6  -19.83  1.24    -9.  -9.   NGC1681
758887367025950794  72.973539  -5.948245  0.00917  Sd        7 36.58 -15.89  2.5     83.1  0.13 FGC0511
758887367565312040  77.691122  -2.759703  0.009573 Im/BCD   12 37.97 -14.94  1.05    24.9  0.55 IIZw033B
758885349469651317  77.700494  -2.68159   0.009443 SABcd     6 37.45 -19.01  0.85    56.8  0.82 UGCA102
